scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,cost_for_two,n_ratings,offer_type,offer_pct,offer_flat,offer_cap,offer_min_order,item_price,locality_reach,chain_outlets,is_chain,n_cuisines,primary_cuisine,has_offer,log_cost,log_votes,cost_w,cost_pct_in_city
2026-09-19 21:12:19,Bengaluru,Hebbal,13.0358,77.597,87164,Sweet Truth - Cake and Desserts,80 ft Road,RT Nagar,₹450 for two,Desserts|Ice Cream|Bakery|Beverages,4.2,1.1K+,28,1.4,True,False,70% OFF,UPTO ₹140,,4444,450.0,1100.0,percent,70.0,0.0,140.0,,,1,32,1,4,Desserts,1,6.1092475827643655,7.00397413672268,450.0,0.8873517786561265
2026-09-19 21:12:19,Kolkata,Dumdum,22.642,88.422,87313,Cafe Coffee Day,Koyla vihar,Kaikhali,₹400 for two,Beverages|Cafe|Snacks|Desserts|Burgers|Ice Cream|Bakery|Fast Food,4.6,2.8K+,29,2.5,True,False,70% OFF,UPTO ₹140,,1,400.0,2800.0,percent,70.0,0.0,140.0,,,1,3,1,8,Beverages,1,5.991464547107982,7.937731775260109,400.0,0.6938325991189427
2026-09-19 21:12:19,Kolkata,Salt Lake,22.58,88.42,87370,Food Bay,"City Centre 1, Sector 1, Salt Lake",Bidhannagar,₹300 for two,Seafood,4.3,1.1K+,38,2.1,True,False,ITEMS,AT ₹79,,80975,300.0,1100.0,item_price_point,0.0,0.0,,,79.0,2,2,0,1,Seafood,1,5.703782474656201,7.00397413672268,300.0,0.42290748898678415
2026-09-19 21:12:19,Mumbai,Vashi,19.0771,72.9986,88630,NIC Ice Creams,Sector No-2,Vashi,₹120 for two,Ice Cream|Desserts,4.7,17K+,13,1.4,True,True,70% OFF,UPTO ₹140,,6249,120.0,17000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.741027444837728,120.0,0.016728624535315983
2026-09-19 21:12:19,Pune,Wakad,18.5985,73.7625,89140,KFC,Wakad Road,Hinjawadi,₹400 for two,Burgers|Fast Food|Rolls & Wraps,4.0,19K+,14,2.4,True,False,50% OFF,,FLAT DEAL,547,400.0,19000.0,percent,50.0,0.0,,,,2,58,1,3,Burgers,1,5.991464547107982,9.852246888342531,400.0,0.7365145228215768
2026-09-19 21:12:19,Pune,Hinjewadi,18.5913,73.7389,89750,CakeZone Patisserie,OPP YES BANK,Wakad Road,₹200 for two,Bakery|Desserts|Sweets|Ice Cream,4.4,27K+,9,0.3,True,False,70% OFF,UPTO ₹140,,7003,200.0,27000.0,percent,70.0,0.0,140.0,,,1,11,1,4,Bakery,1,5.298317366548036,10.203629181337648,200.0,0.12863070539419086
2026-09-19 21:12:19,Delhi,Connaught Place,28.6315,77.2167,90566,Chaayos Chai+Snacks=Relax,Connaught Place,Connaught Place,₹250 for two,Beverages|Chaat|Bakery|Snacks|Street Food|healthy|Home Food|Maharashtrian|Italian|Desserts,4.6,9.5K+,15,0.4,True,False,51% OFF,,FLAT DEAL,281782,250.0,9500.0,percent,51.0,0.0,,,,1,16,1,10,Beverages,1,5.521460917862246,9.15915233520675,250.0,0.21973094170403587
2026-09-19 21:12:19,Mumbai,Lower Parel,18.996,72.8258,90864,The Belgian Waffle Co.,Lower Parel,Lower Parel,₹200 for two,Waffle|Desserts|Ice Cream,4.6,5.2K+,29,1.5,True,True,30% OFF,UPTO ₹60,,2233,200.0,5200.0,percent,30.0,0.0,60.0,,,1,47,1,3,Waffle,1,5.298317366548036,8.556606193773073,200.0,0.13382899628252787
2026-09-19 21:12:19,Mumbai,Thane West,19.2183,72.9781,91287,NIC Ice Creams,Pokhran Road,Thane West,₹120 for two,Ice Cream|Desserts,4.7,17K+,29,2.8,True,True,70% OFF,UPTO ₹140,,6249,120.0,17000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.741027444837728,120.0,0.016728624535315983
2026-09-19 21:12:19,Kolkata,Ballygunge,22.529,88.365,91293,Dhaba Junction,Ballygunge,South Kolkata,₹250 for two,Bengali|Thalis,4.3,32K+,31,0.9,True,False,50% OFF,,FLAT DEAL,15850,250.0,32000.0,percent,50.0,0.0,,,,1,1,0,2,Bengali,1,5.521460917862246,10.373522431293592,250.0,0.2841409691629956
2026-09-19 21:12:19,Kolkata,Dumdum,22.642,88.422,91744,Annapurna Khabar Ghar,Dumdum,Dum Dum,₹100 for two,Indian|Biryani|Chinese,4.3,17K+,25,0.9,True,False,50% OFF,,FLAT DEAL,34090,100.0,17000.0,percent,50.0,0.0,,,,1,1,0,3,Indian,1,4.605170185988092,9.741027444837728,120.0,0.03524229074889868
2026-09-19 21:12:19,Bengaluru,Malleshwaram,13.0035,77.5647,92283,McDonald's,Orion Mall,Malleshwaram,₹400 for two,Burgers|Beverages|Cafe|Desserts,4.3,8.7K+,40,1.8,True,False,ITEMS,AT ₹64,,630,400.0,8700.0,item_price_point,0.0,0.0,,,64.0,1,55,1,4,Burgers,1,5.991464547107982,9.071193240566025,400.0,0.7628458498023716
2026-09-19 21:12:19,Hyderabad,Secunderabad,17.4399,78.4983,92498,Sweet Truth - Cake and Desserts,MAHALAXMI TRADE CENTER,Karkhana,₹450 for two,Desserts|Ice Cream|Bakery|Beverages,4.2,1.9K+,31,2.9,True,False,70% OFF,UPTO ₹140,,4444,450.0,1900.0,percent,70.0,0.0,140.0,,,1,32,1,4,Desserts,1,6.1092475827643655,7.550135342488429,450.0,0.7835497835497836
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,93242,McDonald's,Pondy Bazzar,T. Nagar,₹400 for two,Burgers|Beverages|Cafe|Desserts,4.3,28K+,20,0.3,True,False,ITEMS,AT ₹64,,630,400.0,28000.0,item_price_point,0.0,0.0,,,64.0,1,55,1,4,Burgers,1,5.991464547107982,10.239995502805316,400.0,0.7396694214876033
2026-09-19 21:12:19,Hyderabad,Madhapur,17.4483,78.3915,93740,Maharaja chaat and foods,Madhapur,Madhapur,₹200 for two,Fast Food,4.3,17K+,27,1.4,True,True,₹550 OFF,ABOVE ₹2499,FLAT DEAL,19733,200.0,17000.0,flat,0.0,550.0,,2499.0,,1,1,0,1,Fast Food,1,5.298317366548036,9.741027444837728,200.0,0.09523809523809523
2026-09-19 21:12:19,Kolkata,Dumdum,22.642,88.422,93821,Wow! China,New Town,Rajarhat,₹400 for two,Chinese|Asian|fastfood|Beverages|Snacks,4.1,8.8K+,58,6.0,True,False,70% OFF,UPTO ₹140,,226836,400.0,8800.0,percent,70.0,0.0,140.0,,,1,20,1,5,Chinese,1,5.991464547107982,9.082620630373812,400.0,0.6938325991189427
2026-09-19 21:12:19,Chennai,Mylapore,13.0339,80.2698,95152,"Faasos - Wraps, Rolls & Shawarma",Bharathi Salai,Triplicane,₹200 for two,Wraps|rolls|Fast Food|Burger|shawarma|Rice Bowls,4.3,7.7K+,33,3.7,True,False,65% OFF,UPTO ₹125,,21809,200.0,7700.0,percent,65.0,0.0,125.0,,,1,15,1,6,Wraps,1,5.298317366548036,8.94910546953925,200.0,0.10950413223140495
2026-09-19 21:12:19,Chennai,Mylapore,13.0339,80.2698,95158,Sweet Truth - Cake and Desserts,Bharathi Salai,Triplicane,₹450 for two,Desserts|Ice Cream|Bakery|Beverages,4.3,1.6K+,28,3.7,True,False,ITEMS,AT ₹69,,4444,450.0,1600.0,item_price_point,0.0,0.0,,,69.0,1,32,1,4,Desserts,1,6.1092475827643655,7.3783837129967145,450.0,0.8615702479338843
2026-09-19 21:12:19,Chennai,Mylapore,13.0339,80.2698,95159,LunchBox - Meals and Thalis,Bharathi Salai,Triplicane,₹200 for two,Thalis|North Indian|Biryani|South Indian|Desserts|Beverages,4.5,7.2K+,34,3.7,True,False,ITEMS,AT ₹99,,4925,200.0,7200.0,item_price_point,0.0,0.0,,,99.0,1,17,1,6,Thalis,1,5.298317366548036,8.881975184248867,200.0,0.10950413223140495
